idioms,lem_idioms
бежать высунув язык,бежать\W+высовывать\W+язык
без сучка без задоринки,без\W+сучка\W+без\W+задоринка
бросаться в глаза,бросаться\W+в\W+глаз
быть на голову выше,быть\W+на\W+голова\W+выше
быть на дружеской ноге,быть\W+на\W+дружеский\W+нога
валить с больной головы на здоровую,валить\W+с\W+больной\W+голова\W+на\W+здоровый
валиться из рук,валиться\W+из\W+рука
вбивать в голову,вбивать\W+в\W+голова
вертится у на языке,вертеться\W+у\W+на\W+язык
вешать нос,вешать\W+нос
взять голыми руками,взять\W+голый\W+рука
взять себя в руки,взять\W+себя\W+в\W+рука
видно как на ладони,видно\W+как\W+на\W+ладонь
висеть на волоске,висеть\W+на\W+волосок
влюбиться по уши,влюбляться\W+по\W+ухо
водить за нос,водить\W+за\W+нос
волосы становятся дыбом,волос\W+становиться\W+дыбом
вставать с левой ноги,вставать\W+с\W+лева\W+нога
в ус не дуть,в\W+ус\W+не\W+дуть
выбивать у почву из-под ног,выбивать\W+у\W+почва\W+изпод\W+нога
выбросить из головы,выбрасывать\W+из\W+голова
выйти сухим из воды,выходить\W+сухой\W+из\W+вода
вынести на своих плечах,вынести\W+на\W+свой\W+плечо
выносить сор из избы,выносить\W+сор\W+из\W+изба
вырастать в чьих-либо глазах,вырастать\W+в\W+чейлибо\W+глаз
высосать из пальца,высасывать\W+из\W+палец
гадать на кофейной гуще,гадать\W+на\W+кофейный\W+густой
гладить против шерсти,гладить\W+против\W+шерсть
глаза разбегаются,глаз\W+разбегаться
глаза разгорелись,глаз\W+разгораться
говорить под руку,говорить\W+под\W+рука
голова идет кругом,голова\W+идти\W+кругом
горит в руках,гореть\W+в\W+рука
гусей дразнить,гусь\W+дразнить
делать с закрытыми глазами,делать\W+с\W+закрывать\W+глаз
делать спустя рукава,делать\W+спустя\W+рукав
держать в чёрном теле,держать\W+в\W+черный\W+тело
держать нос по ветру,держать\W+нос\W+по\W+ветер
держать себя в руках,держать\W+себя\W+в\W+рука
держать ухо востро,держать\W+ухо\W+востро
держать язык за зубами,держать\W+язык\W+за\W+зуб
длинный язык,длинный\W+язык
доходить до чьих-либо ушей,доходить\W+до\W+чейлибо\W+ухо
душа ушла в пятки,душа\W+уходить\W+в\W+пятка
дырявая голова,дырявый\W+голова
жить на широкую ногу,жить\W+на\W+широкий\W+нога
задать перцу,задавать\W+перец
задеть за живое,задеть\W+за\W+живой
задирать нос,задирать\W+нос
закрывать на глаза,закрывать\W+на\W+глаз
зарубить на носу,зарубать\W+на\W+нос
знать как свои пять пальцев,знать\W+как\W+свой\W+пять\W+палец
золотые руки,золотой\W+рука
идти куда глаза глядят,идти\W+куда\W+глаз\W+глядеть
идти против течения,идти\W+против\W+течение
иметь голову на плечах,иметь\W+голова\W+на\W+плечо
искры из глаз посыпались,искра\W+из\W+глаз\W+посыпаться
и ухом не ведет,и\W+ухо\W+не\W+вести
как без рук,как\W+без\W+рука
как в воду опущенный,как\W+в\W+вода\W+опускать
как гора с плеч свалилась,как\W+гора\W+с\W+плечо\W+сваливаться
как корова языком слизала,как\W+корова\W+язык\W+слизывать
как рукой сняло,как\W+рука\W+снимать
как с гуся вода,как\W+с\W+гусь\W+вода
как снег на голову,как\W+снег\W+на\W+голова
клевать носом,клевать\W+нос
кусать себе локти,кусать\W+себя\W+локоть
легкая рука,легкий\W+рука
лезть из кожи вон,лезть\W+из\W+кожа\W+вон
ломать голову над чем-либо,ломать\W+голова\W+над\W+чтолибо
мастер на все руки,мастер\W+на\W+все\W+рука
махнуть рукой,махнуть\W+рука
медведь на ухо наступил,медведь\W+на\W+ухо\W+наступать
медвежья услуга,медвежий\W+услуга
море по колено,море\W+по\W+колено
мотать себе на ус,мотать\W+себя\W+на\W+ус
мурашки бегают по спине,мурашки\W+бегать\W+по\W+спина
набить руку,набивать\W+рука
набрать в рот воды,набирать\W+в\W+рот\W+вода
навострить уши,навострить\W+ухо
надуть губы,надувать\W+губа
на лбу написано,на\W+лоб\W+написать
намылить шею,намыливать\W+шея
нанести удар из-за угла,наносить\W+удар\W+изза\W+угол
напустить туману,напускать\W+туман
наступать на пятки,наступать\W+на\W+пятка
не видать как своих ушей,не\W+видать\W+как\W+свой\W+ухо
не видеть дальше своего носа,не\W+видеть\W+далеко\W+свой\W+нос
не выходит из головы,не\W+выходить\W+из\W+голова
не ударить в грязь лицом,не\W+ударять\W+в\W+грязь\W+лицо
нечист на руку,нечистый\W+на\W+рука
не чуять ног под собой,не\W+чуять\W+нога\W+под\W+себя
носа не высунуть,нос\W+не\W+высовывать
носить воду решетом,носить\W+вода\W+решето
обвести вокруг пальца,обвести\W+вокруг\W+палец
"одна нога здесь, другая там",один\W+нога\W+здесь\W+другой\W+там
окунуться с головой,окунаться\W+с\W+голова
опустить руки,опускать\W+рука
оставить с носом,оставлять\W+с\W+нос
открывать глаза на ,открывать\W+глаз\W+на
палец о палец не ударить,палец\W+о\W+палец\W+не\W+ударять
пальца в рот не клади,палец\W+в\W+рот\W+не\W+класть
пальцем никого не тронуть,палец\W+никто\W+не\W+тронуть
переливать из пустого в порожнее,переливать\W+из\W+пустой\W+в\W+порожний
подвернуться под руку,подвертываться\W+под\W+рука
под горячую руку,под\W+горячий\W+рука
под носом,под\W+нос
поднять всех на ноги,подымать\W+все\W+на\W+нога
подписываться под чем-либо обеими руками,подписываться\W+под\W+чтолибо\W+оба\W+рука
показать пятки,показывать\W+пятка
показывать товар лицом,показывать\W+товар\W+лицо
положа руку на сердце,положе\W+рука\W+на\W+сердце
положить на обе лопатки,полагать\W+на\W+оба\W+лопатка
попадаться на язык,попадаться\W+на\W+язык
по пальцам можно сосчитать,по\W+палец\W+можно\W+сосчитывать
попасть на зубок,попадать\W+на\W+зубок
"попасть не в бровь, а в глаз",попадать\W+не\W+в\W+бровь\W+а\W+в\W+глаз
попасть пальцем в небо,попадать\W+палец\W+в\W+небо
прибирать к рукам,прибирать\W+к\W+рука
приложить руку к чему-либо,прикладывать\W+рука\W+к\W+чтолибо
притянуть за уши,притягивать\W+за\W+ухо
проглотить язык,проглатывать\W+язык
прожужжать все уши,прожужжать\W+весь\W+ухо
пропускать мимо ушей,пропускать\W+мимо\W+ухо
пускать козла в огород,пускать\W+козел\W+в\W+огород
пускать пыль в глаза,пускать\W+пыль\W+в\W+глаз
работать засучив рукава,работать\W+засучивать\W+рукав
